invasive,woody_species_percentage,water_sources,seed_type,years_since_prescribed_burn,result,$id,$createdAt,$updatedAt,$permissions,$databaseId,$collectionId
['JG'],15.2,river,['native_grass'],7,Fall,6726a52ee3ea344b3a3d,2024-11-02T22:18:22.934+00:00,2024-11-02T22:18:22.934+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['P'],13.4,spring,['native_grass'],2,Spring,6726a52f28c53bcb8fc5,2024-11-02T22:18:23.168+00:00,2024-11-02T22:18:23.168+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['KR'],43.1,river,"['wildflower', 'native_grass']",19,Fall,6726a52f64fbf6e1562b,2024-11-02T22:18:23.414+00:00,2024-11-02T22:18:23.414+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['JG'],40.7,spring,['wildflower'],25,Fall,6726a52fa3d1ddb18cb8,2024-11-02T22:18:23.671+00:00,2024-11-02T22:18:23.671+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'JG']",13.7,none,"['native_grass', 'wildflower']",11,Spring,6726a52fde4aebec8cb1,2024-11-02T22:18:23.910+00:00,2024-11-02T22:18:23.910+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
['JG'],8,river,"['native_grass', 'wildflower']",22,Fall,6726a53025f42e3d5f54,2024-11-02T22:18:24.156+00:00,2024-11-02T22:18:24.156+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'JG']",34.6,spring,"['wildflower', 'native_grass']",8,Fall,6726a5305faf9a827649,2024-11-02T22:18:24.392+00:00,2024-11-02T22:18:24.392+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'P']",35.5,spring,"['wildflower', 'native_grass']",20,Fall,6726a530a00025d612ca,2024-11-02T22:18:24.656+00:00,2024-11-02T22:18:24.656+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'P']",46.4,spring,['wildflower'],14,Spring,6726a530d0e331e8d345,2024-11-02T22:18:24.856+00:00,2024-11-02T22:18:24.856+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
"['KR', 'JG']",30.8,none,['native_grass'],4,Fall,6726a53111685ea133b2,2024-11-02T22:18:25.071+00:00,2024-11-02T22:18:25.071+00:00,[],67267ef2000ed7e975ea,67267efe000276d5ca45
